,page_id,name_x,urlslug_x,id_x,align_x,eye_x,hair_x,sex_x,gsm_x,alive_x,appearances_x,first appearance_x,year_x,industry_x,name_y,urlslug_y,id_y,align_y,eye_y,hair_y,sex_y,gsm_y,alive_y,appearances_y,first appearance_y,year_y,industry_y
12,1480,Alexander Luthor (New Earth),\/wiki\/Alexander_Luthor_(New_Earth),Public Identity,Bad Characters,Green Eyes,,Male Characters,,Living Characters,677.0,"1986, October",1986.0,DC,Bram Velsing (Earth-616),\/Bram_Velsing_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,14.0,Aug-77,1977.0,MV
13,1556,Roy Harper (New Earth),\/wiki\/Roy_Harper_(New_Earth),Secret Identity,Neutral Characters,Green Eyes,Red Hair,Male Characters,,Living Characters,654.0,"1941, November",1941.0,DC,Plan Chu (Earth-616),\/Plan_Chu_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Deceased Characters,61.0,Oct-56,1956.0,MV
14,1580,Kara Zor-L (Earth-Two),\/wiki\/Kara_Zor-L_(Earth-Two),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,635.0,"1976, February",1976.0,DC,James Montgomery Falsworth (Earth-616),\/James_Montgomery_Falsworth_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,32.0,Jul-76,1976.0,MV
15,1611,Garfield Logan (New Earth),\/wiki\/Garfield_Logan_(New_Earth),Public Identity,Good Characters,Green Eyes,Green Hair,Male Characters,,Living Characters,595.0,"1965, November",1965.0,DC,Ozymandias (Earth-616),\/Ozymandias_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,36.0,May-96,1996.0,MV
16,1479,Guy Gardner (New Earth),\/wiki\/Guy_Gardner_(New_Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,593.0,"1968, March",1968.0,DC,Frank Drake (Earth-616),\/Frank_Drake_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,114.0,Apr-72,1972.0,MV
17,1582,Victor Stone (New Earth),\/wiki\/Victor_Stone_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,584.0,"1980, October",1980.0,DC,Gunther Bain (Earth-616),\/Gunther_Bain_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,51.0,Nov-64,1964.0,MV
18,1484,Ralph Dibny (New Earth),\/wiki\/Ralph_Dibny_(New_Earth),Public Identity,,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,558.0,"1960, May",1960.0,DC,Dreamqueen (Earth-616),\/Dreamqueen_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Green Hair,Female Characters,,Living Characters,19.0,Mar-88,1988.0,MV
19,1478,John Stewart (New Earth),\/wiki\/John_Stewart_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,549.0,"1971, December",1971.0,DC,Tamara Kurtz (Earth-616),\/Tamara_Kurtz_(Earth-616),Secret Identity,Neutral Characters,,Auburn Hair,Female Characters,,Living Characters,23.0,Sep-90,1990.0,MV
20,1455,Joker (New Earth),\/wiki\/Joker_(New_Earth),Secret Identity,Bad Characters,Green Eyes,Green Hair,Male Characters,,Living Characters,517.0,"1940, June",1940.0,DC,Kinji Obatu (Earth-616),\/Kinji_Obatu_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,16.0,Oct-69,1969.0,MV
21,1872,Garth (New Earth),\/wiki\/Garth_(New_Earth),Public Identity,Good Characters,Purple Eyes,Black Hair,Male Characters,,Deceased Characters,487.0,"1960, February",1960.0,DC,John Jonah Jameson (Earth-616),\/John_Jonah_Jameson_(Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1266.0,Mar-63,1963.0,MV
22,1616,Rex Mason (New Earth),\/wiki\/Rex_Mason_(New_Earth),Secret Identity,,Black Eyes,,Male Characters,,Living Characters,470.0,"1965, January",1965.0,DC,Fandral (Earth-616),\/Fandral_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,375.0,Aug-65,1965.0,MV
23,1577,Zatanna Zatara (New Earth),\/wiki\/Zatanna_Zatara_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,439.0,"1964, November",1964.0,DC,Umar (Earth-616),\/Umar_(Earth-616),Public Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,48.0,Nov-66,1966.0,MV
24,1559,Michael Jon Carter (New Earth),\/wiki\/Michael_Jon_Carter_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,427.0,"1986, February",1986.0,DC,Ymir (Earth-616),\/Ymir_(Earth-616),No Dual Identity,Bad Characters,White Eyes,No Hair,Male Characters,,Living Characters,30.0,Oct-63,1963.0,MV
25,1607,Cassandra Sandsmark (New Earth),\/wiki\/Cassandra_Sandsmark_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,423.0,"1996, January",1996.0,DC,Orphan-Maker (Peter) (Earth-616),\/Orphan-Maker_(Peter)_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,20.0,Aug-88,1988.0,MV
26,1680,Kent Nelson (New Earth),\/wiki\/Kent_Nelson_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,422.0,"1940, May",1940.0,DC,Remy LeBeau (Earth-616),\/Remy_LeBeau_(Earth-616),Secret Identity,Good Characters,Black Eyeballs,Brown Hair,Male Characters,,Living Characters,636.0,Jul-90,1990.0,MV
27,1662,Harvey Bullock (New Earth),\/wiki\/Harvey_Bullock_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,413.0,"1974, July",1974.0,DC,Spike (Freeman) (Earth-616),\/Spike_(Freeman)_(Earth-616),Secret Identity,,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,24.0,Aug-01,2001.0,MV
28,1864,Rachel Roth (New Earth),\/wiki\/Rachel_Roth_(New_Earth),Secret Identity,Good Characters,Purple Eyes,Black Hair,Female Characters,,Living Characters,399.0,"1980, October",1980.0,DC,Irene Merryweather (Earth-616),\/Irene_Merryweather_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,60.0,Nov-97,1997.0,MV
29,1981,Wesley Dodds (New Earth),\/wiki\/Wesley_Dodds_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,391.0,"1939, April",1939.0,DC,Jack Russell (Earth-616),\/Jack_Russell_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,178.0,Feb-72,1972.0,MV
30,1514,Uxas (New Earth),\/wiki\/Uxas_(New_Earth),Public Identity,Bad Characters,Red Eyes,,Male Characters,,Deceased Characters,388.0,"1970, December",1970.0,DC,Amora (Earth-616),\/Amora_(Earth-616),Public Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,,Living Characters,247.0,Apr-64,1964.0,MV
31,1684,Charles McNider (New Earth),\/wiki\/Charles_McNider_(New_Earth),Secret Identity,,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,361.0,"1941, April",1941.0,DC,Gamora (Earth-616),\/Gamora_(Earth-616),No Dual Identity,Neutral Characters,Yellow Eyes,Black Hair,Female Characters,,Living Characters,218.0,Jun-75,1975.0,MV
32,1687,Theodore Knight (New Earth),\/wiki\/Theodore_Knight_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,356.0,"1941, April",1941.0,DC,Yuri Topolov (Earth-616),\/Yuri_Topolov_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Bald,Male Characters,,Deceased Characters,13.0,May-62,1962.0,MV
33,1488,Perry White (New Earth),\/wiki\/Perry_White_(New_Earth),Public Identity,,Blue Eyes,Brown Hair,Male Characters,,Living Characters,350.0,"1986, October",1986.0,DC,Sooraya Qadir (Earth-616),\/Sooraya_Qadir_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,125.0,Dec-02,2002.0,MV
34,1554,John Henry Irons (New Earth),\/wiki\/John_Henry_Irons_(New_Earth),Public Identity,Good Characters,Brown Eyes,,Male Characters,,Living Characters,345.0,"1993, June",1993.0,DC,Mariko Yashida (Earth-616),\/Mariko_Yashida_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,76.0,Feb-79,1979.0,MV
35,1619,Jefferson Pierce (New Earth),\/wiki\/Jefferson_Pierce_(New_Earth),Secret Identity,Good Characters,Brown Eyes,,Male Characters,,Living Characters,344.0,"1977, April",1977.0,DC,Farouk Al-Fasaud (Earth-616),\/Farouk_Al-Fasaud_(Earth-616),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,5.0,Nov-87,1987.0,MV
36,1549,Slade Wilson (New Earth),\/wiki\/Slade_Wilson_(New_Earth),Secret Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,336.0,"1980, December",1980.0,DC,Zom (Earth-616),\/Zom_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Brown Hair,Male Characters,,Living Characters,14.0,May-67,1967.0,MV
37,1599,Phantom Stranger (New Earth),\/wiki\/Phantom_Stranger_(New_Earth),Secret Identity,,Black Eyes,Black Hair,Male Characters,,Living Characters,335.0,"1952, September",1952.0,DC,Arkady Rossovich (Earth-616),\/Arkady_Rossovich_(Earth-616),Secret Identity,Bad Characters,Red Eyes,Blond Hair,Male Characters,,Deceased Characters,62.0,Jan-92,1992.0,MV
38,1625,Carol Ferris (New Earth),\/wiki\/Carol_Ferris_(New_Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,319.0,"1959, October",1959.0,DC,Tom\u00e1s Ram\u00edrez (Earth-616),\/Tom%C3%A1s_Ram%C3%ADrez_(Earth-616),,Bad Characters,Brown Eyes,Bald,Male Characters,,Living Characters,9.0,Sep-82,1982.0,MV
39,8856,Renee Montoya (New Earth),\/wiki\/Renee_Montoya_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Homosexual Characters,Living Characters,308.0,"1992, March",1992.0,DC,Ezekiel Sims (Earth-616),\/Ezekiel_Sims_(Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Grey Hair,Male Characters,,Deceased Characters,27.0,Jun-01,2001.0,MV
40,1471,Harvey Dent (New Earth),\/wiki\/Harvey_Dent_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,306.0,"1942, August",1942.0,DC,Vlad Dracula (Earth-616),\/Vlad_Dracula_(Earth-616),No Dual Identity,Bad Characters,Red Eyes,White Hair,Male Characters,,Living Characters,223.0,Mar-51,1951.0,MV
41,1894,Kendra Saunders (New Earth),\/wiki\/Kendra_Saunders_(New_Earth),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,,Deceased Characters,301.0,"1999, August",1999.0,DC,Helen Takahama (Earth-616),\/Helen_Takahama_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,78.0,Apr-97,1997.0,MV
42,1825,Kilowog (New Earth),\/wiki\/Kilowog_(New_Earth),Public Identity,Good Characters,Red Eyes,,Male Characters,,Living Characters,299.0,"1986, June",1986.0,DC,Roderick Kingsley (Earth-616),\/Roderick_Kingsley_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Grey Hair,Male Characters,,Living Characters,108.0,Jun-80,1980.0,MV
43,1870,Kara Zor-El (New Earth),\/wiki\/Kara_Zor-El_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,297.0,"2004, May",2004.0,DC,Isis (Deity) (Earth-616),\/Isis_(Deity)_(Earth-616),Secret Identity,Neutral Characters,,,Female Characters,,Living Characters,10.0,Sep-75,1975.0,MV
44,1681,Rex Tyler (New Earth),\/wiki\/Rex_Tyler_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,288.0,"1940, March",1940.0,DC,Ernesto & Luigi Gambonno (Earth-616),\/Ernesto_%26_Luigi_Gambonno_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,,Sep-64,1964.0,MV
45,1464,Pamela Isley (New Earth),\/wiki\/Pamela_Isley_(New_Earth),Secret Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,286.0,"1966, June",1966.0,DC,Dormammu (Earth-616),\/Dormammu_(Earth-616),No Dual Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,,Living Characters,132.0,Nov-64,1964.0,MV
46,1685,Pieter Cross (New Earth),\/wiki\/Pieter_Cross_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,284.0,"1999, February",1999.0,DC,Ord Zyonz (Earth-616),\/Ord_Zyonz_(Earth-616),,,Purple Eyes,Grey Hair,Male Characters,,Living Characters,30.0,Mar-77,1977.0,MV
47,2657,Mari McCabe (New Earth),\/wiki\/Mari_McCabe_(New_Earth),Secret Identity,Good Characters,Amber Eyes,Brown Hair,Female Characters,,Living Characters,268.0,"1981, July",1981.0,DC,Hildegarde (Earth-616),\/Hildegarde_(Earth-616),No Dual Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,43.0,Jan-72,1972.0,MV
48,1839,Boston Brand (New Earth),\/wiki\/Boston_Brand_(New_Earth),Secret Identity,Good Characters,Blue Eyes,,Male Characters,,Deceased Characters,262.0,"1967, October",1967.0,DC,Albert Potter (Earth-616),\/Albert_Potter_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Living Characters,33.0,Oct-76,1976.0,MV
49,21110,Daniel Turpin (New Earth),\/wiki\/Daniel_Turpin_(New_Earth),Public Identity,,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,261.0,"1942, June",1942.0,DC,Jacob Weisenthal (Earth-616),\/Jacob_Weisenthal_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,6.0,Sep-92,1992.0,MV
50,13108,John Zatara (New Earth),\/wiki\/John_Zatara_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,256.0,"1938, June",1938.0,DC,Gustav Krueger (Earth-616),\/Gustav_Krueger_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Grey Hair,Male Characters,,Deceased Characters,35.0,Oct-85,1985.0,MV
51,1462,Oswald Cobblepot (New Earth),\/wiki\/Oswald_Cobblepot_(New_Earth),Public Identity,,Blue Eyes,Black Hair,Male Characters,,Living Characters,253.0,"1941, December",1941.0,DC,Domo (Earth-616),\/Domo_(Earth-616),No Dual Identity,,White Eyes,Black Hair,Male Characters,,Living Characters,12.0,Nov-76,1976.0,MV
52,1848,Brion Markov (New Earth),\/wiki\/Brion_Markov_(New_Earth),Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,245.0,"1983, July",1983.0,DC,Idunn (Earth-616),\/Idunn_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,44.0,Mar-65,1965.0,MV
53,1866,Sanderson Hawkins (New Earth),\/wiki\/Sanderson_Hawkins_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,241.0,"1941, December",1941.0,DC,Daniel Rand (Earth-616),\/Daniel_Rand_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,618.0,May-74,1974.0,MV
54,1900,Jonathan Chambers (New Earth),\/wiki\/Jonathan_Chambers_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,239.0,"1941, September",1941.0,DC,Jubilation Lee (Earth-616),\/Jubilation_Lee_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,408.0,May-89,1989.0,MV
55,1547,Orion (New Earth),\/wiki\/Orion_(New_Earth),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,Deceased Characters,237.0,"1971, March",1971.0,DC,Ziran (Earth-616),\/Ziran_(Earth-616),,Neutral Characters,,,,,Living Characters,34.0,Dec-77,1977.0,MV
56,1494,Cassandra Cain (New Earth),\/wiki\/Cassandra_Cain_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,235.0,"1999, July",1999.0,DC,Renee Deladier (Earth-616),\/Renee_Deladier_(Earth-616),Secret Identity,,Green Eyes,Blond Hair,Female Characters,,Living Characters,12.0,Aug-86,1986.0,MV
57,1445,Jason Todd (New Earth),\/wiki\/Jason_Todd_(New_Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,235.0,"1987, June",1987.0,DC,Leonard Samson (Earth-616),\/Leonard_Samson_(Earth-616),Public Identity,Good Characters,Brown Eyes,Green Hair,Male Characters,,Deceased Characters,260.0,Jul-71,1971.0,MV
58,1483,Susan Dearbon (New Earth),\/wiki\/Susan_Dearbon_(New_Earth),Public Identity,Good Characters,,Black Hair,Female Characters,,Deceased Characters,235.0,"1961, March",1961.0,DC,Tiamut (Earth-616),\/Tiamut_(Earth-616),Secret Identity,Neutral Characters,Red Eyes,No Hair,Male Characters,,Living Characters,35.0,Dec-77,1977.0,MV
59,1785,Joseph Wilson (New Earth),\/wiki\/Joseph_Wilson_(New_Earth),Secret Identity,Neutral Characters,Green Eyes,Blond Hair,Male Characters,,Living Characters,229.0,"1984, May",1984.0,DC,Leroy Jackson (Earth-616),\/Leroy_Jackson_(Earth-616),,Bad Characters,Brown Eyes,Bald,Male Characters,,Living Characters,7.0,Dec-74,1974.0,MV
60,1645,Floyd Lawton (New Earth),\/wiki\/Floyd_Lawton_(New_Earth),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,227.0,"1950, June",1950.0,DC,Greg Salinger (Earth-616),\/Greg_Salinger_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,16.0,May-77,1977.0,MV
61,1897,Tora Olafsdotter (New Earth),\/wiki\/Tora_Olafsdotter_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,225.0,"1988, April",1988.0,DC,Max Eisenhardt (Joseph) (Earth-616),\/Max_Eisenhardt_(Joseph)_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,52.0,Dec-95,1995.0,MV
62,1522,George Harkness (New Earth),\/wiki\/George_Harkness_(New_Earth),Secret Identity,,Brown Eyes,Brown Hair,Male Characters,,Living Characters,224.0,"1960, December",1960.0,DC,Davan Shakari (Earth-616),\/Davan_Shakari_(Earth-616),Secret Identity,Bad Characters,White Eyes,Black Hair,Male Characters,,Living Characters,21.0,Feb-76,1976.0,MV
63,1675,Jonathan Crane (New Earth),\/wiki\/Jonathan_Crane_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,222.0,"1941, September",1941.0,DC,Gaia (Earth-616),\/Gaia_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Pink Hair,Female Characters,,Living Characters,14.0,Apr-98,1998.0,MV
64,1519,Leonard Snart (New Earth),\/wiki\/Leonard_Snart_(New_Earth),Secret Identity,,Brown Eyes,Brown Hair,Male Characters,,Living Characters,219.0,"1957, June",1957.0,DC,Epoch (Earth-616),\/Epoch_(Earth-616),,,Red Eyes,Brown Hair,Female Characters,,Living Characters,22.0,Aug-91,1991.0,MV
65,1557,Big Barda (New Earth),\/wiki\/Big_Barda_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,216.0,"1971, October",1971.0,DC,Henry Pym (Earth-616),\/Henry_Pym_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1237.0,Jan-62,1962.0,MV
66,2698,Niles Caulder (New Earth),\/wiki\/Niles_Caulder_(New_Earth),Public Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,,Living Characters,214.0,"1963, June",1963.0,DC,Maur-Konn (Earth-616),\/Maur-Konn_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,2.0,Feb-79,1979.0,MV
67,1868,James Corrigan (New Earth),\/wiki\/James_Corrigan_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,214.0,"1940, February",1940.0,DC,"Iron Man (Anthony \""Tony\"" Stark)",\/Iron_Man_(Anthony_%22Tony%22_Stark),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,2961.0,Mar-63,1963.0,MV
68,1682,Richard Tyler (New Earth),\/wiki\/Richard_Tyler_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,212.0,"1985, November",1985.0,DC,Jeremy Stevens (Earth-616),\/Jeremy_Stevens_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,25.0,Dec-91,1991.0,MV
69,1453,Stephanie Brown (New Earth),\/wiki\/Stephanie_Brown_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,198.0,"1992, August",1992.0,DC,Otto Octavius (Earth-616),\/Otto_Octavius_(Earth-616),Secret Identity,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,,Deceased Characters,526.0,Jul-63,1963.0,MV
70,1865,Raymond Terrill (New Earth),\/wiki\/Raymond_Terrill_(New_Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Male Characters,,Living Characters,192.0,"1992, February",1992.0,DC,Iridia (Earth-616),\/Iridia_(Earth-616),Public Identity,,,Blond Hair,Female Characters,,Living Characters,9.0,Oct-75,1975.0,MV
71,1620,Vandar Adg (New Earth),\/wiki\/Vandar_Adg_(New_Earth),Public Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,188.0,"1943, December",1943.0,DC,Fatale (Earth-616),\/Fatale_(Earth-616),Secret Identity,Bad Characters,Green Eyes,,Female Characters,,Living Characters,31.0,Apr-93,1993.0,MV
